minute,samples_shoulder,shoulder_mean,shoulder_min,shoulder_max,samples_headroll,headroll_mean,headroll_min,headroll_max,samples_mouth,mouth_mean,mouth_min,mouth_max
50,300,0.004380824863910675,-0.06907260417938232,0.04359561204910278,300,-7.93260789578487,-28.760740826226517,17.576569608717826,300,0.02710591877451628,0.00015107280569750414,0.18755440292427572
51,300,0.008021178940931956,-0.010838806629180908,0.036881089210510254,256,-8.247372969056354,-23.16727012415549,3.9849819545059724,256,0.03948524060947912,0.0003096100748747714,0.3276600414875426
52,300,0.016367039581139883,-0.032239437103271484,0.038364529609680176,300,-14.896834873669775,-44.160506814273376,4.963736945949503,300,0.035817361268514224,0.00022385588417661524,0.21276095841264223
53,300,0.007557907402515412,-0.018564432859420776,0.032954394817352295,247,-11.485562806256645,-64.5759081080892,4.133682195423246,247,0.01624982301867172,0.00016460199801711823,0.24938712445944242
54,300,-0.0010524800419807435,-0.02927929162979126,0.03281682729721069,300,-2.8502194214974117,-30.332224860228727,10.884318847253088,300,0.026239730311946683,0.00011210140657106191,0.15698547644343921
55,300,0.005389266312122345,-0.04923334717750549,0.04185524582862854,300,-6.267287442166316,-23.262261801708167,10.961012222507415,300,0.04156791627917527,0.00010596634740194741,0.2031891900454344
56,300,0.003986258804798126,-0.026649385690689087,0.025320053100585938,300,-5.52169186269478,-17.754122701795062,9.59909260429027,300,0.023581772761521905,0.0001591848234716218,0.22597105722247166
57,300,0.007885326743125915,-0.0244351327419281,0.02904072403907776,295,-5.389632385749468,-24.03307046019387,15.194517430187153,295,0.05201659862661967,0.00035742091707259934,0.22880598941270824
58,300,0.002773013909657796,-0.026278942823410034,0.02567163109779358,300,-7.354651783483661,-21.65174043086721,12.688636484196124,300,0.05116619879131202,0.0002241642135901114,0.23464626951952536
59,300,0.0006398355960845947,-0.014147043228149414,0.02454972267150879,300,-5.876958322018303,-20.86146149116525,7.255633957873616,300,0.055215285613487985,0.00027204122025826165,0.22842744063285192
60,300,-0.0030453474322954814,-0.028013020753860474,0.030662089586257935,265,-6.546620374849333,-28.89802371531584,12.733624331462153,265,0.050191509239539814,0.0002580660517144495,0.2785811631578088
61,300,0.0012636305888493857,-0.03743651509284973,0.03222745656967163,300,-7.249835149458556,-22.037625597311095,6.409164047167025,300,0.040438280431045914,7.568073742201621e-05,0.2326611074039461
62,300,0.012112185458342235,-0.01838862895965576,0.04081302881240845,300,-11.197635343570159,-25.511979672261873,9.148897842788449,300,0.045800164827540145,0.0005018296546071744,0.23337246550530485
63,300,0.00627313107252121,-0.0338263213634491,0.031474769115448,298,-9.600871743189654,-29.365233236379,9.021311386649975,298,0.02935950396435393,3.831653247959e-05,0.22939865191516323
64,300,0.006948703229427338,-0.011900216341018677,0.022646844387054443,253,-11.428980100007765,-30.236812566160093,-0.8387879337394817,253,0.052109112731120906,0.00022784084589249961,0.22713386558464319
65,300,-0.00033833215634028116,-0.021876364946365356,0.02023780345916748,300,-8.329763458897563,-25.856065830658178,5.835797608409184,300,0.031903722208045424,0.00018162800422864367,0.194995453917829
66,300,0.0015310996770858765,-0.057992368936538696,0.03393054008483887,300,-8.364517784970971,-22.895470046829523,7.089764101000184,300,0.03390930844395132,3.298181583238937e-05,0.21956455518548354
67,300,0.007485484580198923,-0.009079813957214355,0.028416186571121216,300,-11.261762429397281,-45.36179036626366,2.612995303676797,300,0.035248295598976485,0.000361696769019214,0.2368324389404414
68,300,0.001084822416305542,-0.029151231050491333,0.034465014934539795,232,-6.28712821324987,-57.142211874573526,7.912670853045348,232,0.0589477512635267,0.00039136967615202025,0.2678465882113225
69,300,0.0014525554577509562,-0.01823025941848755,0.020241975784301758,300,-5.936368805637125,-28.551840212912126,19.01644987731228,300,0.05475394221588976,0.00012182705607229692,0.19998334437548557
70,300,0.010095471640427907,-0.01361316442489624,0.029844015836715698,298,-4.1343666809225255,-17.968025384391527,9.318399216395672,298,0.024862873012068184,0.00013840940314468634,0.17622156168316633
71,300,0.008454185624917348,-0.011146605014801025,0.06360822916030884,300,-8.118015082663588,-21.53762452036232,5.77157431040448,300,0.06186901390861716,2.7722076415375167e-05,0.2362502899965826
72,300,0.024300607045491536,-0.006870776414871216,0.06974354386329651,300,-12.24659871302216,-20.54981497477902,-4.120689079237888,300,0.052954266324954674,0.00038215656705105886,0.19514396540717982
73,300,-0.0062058388193448385,-0.02654382586479187,0.03208401799201965,300,-7.740471527625655,-18.085409021538833,9.422671392946247,300,0.03662831466946367,0.00024114715068898905,0.1896744740990204
74,300,-0.007113658487796783,-0.020302623510360718,0.013723373413085938,300,-5.117929060136495,-21.78320840486845,10.937514394797551,300,0.04800799337646918,0.00019651417477453527,0.2858616291558138
75,300,-0.005105229616165161,-0.021019071340560913,0.015440195798873901,300,-5.576051135103876,-24.006966963734293,10.843419814311822,300,0.0476752445694693,9.400921852108096e-05,0.21611407490644785
76,300,-0.012753584682941436,-0.04764199256896973,0.0015058517456054688,300,-7.7310876535405,-46.173449941462245,5.330734983446036,300,0.013148097156071287,3.944179127571546e-05,0.13863451601914117
77,300,-0.006580918033917745,-0.026429682970046997,0.015825331211090088,300,-2.905850335818761,-32.263507368509046,7.942346914528879,300,0.02838996272576219,0.00022060063465374665,0.16174742080800134
